gers_id,name,brand_token,latitude,longitude,city,state,tier,matched_opis_id,matched_name,matched_geocode_precision,distance_mi,decision,reason
02ab9a7f-a157-471d-bfed-39e295e7ed2e,Kwik Serv,,39.12783133,-121.55487560,Marysville,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
02bee92a-ea11-4d17-9992-600592c36480,Chevron Station Norwalk,,33.92589700,-118.10534800,Norwalk,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
02c29a9c-df07-4741-9550-43f0d0eb7daa,Mobil,,36.85953477,-121.65182099,Aromas,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
02cc70e3-eb02-4c7f-9c44-09421d762b71,Shell,,32.58349326,-117.09306161,San Diego,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
02d08c6b-0131-498b-8b81-ec1349556a63,Chevron,,37.25089660,-121.83122967,San Jose,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
02d782fe-60cd-4cda-9acc-a06c33ea83e7,United Oil Rocket,,33.22610171,-117.22660573,Vista,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
02e56959-98dd-41d4-8353-154a7d31695e,Shell,,38.11027107,-122.25437253,Vallejo,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
02f00038-c45d-4898-b304-6ca54b6f14a1,Chevron,,33.59202847,-117.12420284,Winchester,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
02f0bfe3-e1b1-4d22-a6d6-4c8ef1223b16,Shell,,36.71811344,-121.65258704,Salinas,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
02f39e16-cb2b-4628-82b8-bc452d14ec4d,George's Gas N Grill,,37.60005884,-120.95659483,Ceres,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
