opis_id,name,address,city,state,rack_id,retail_price,observation_count,price_min,price_max,latitude,longitude,geocode_precision,geocode_status
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.49900000,3,3.39900000,3.59900000,40.11012600,-87.77692500,city,ok
1140,CIRCLE K #4701398,"I-55, EXIT 82 & SR-104",Divernon,IL,280,3.49900000,1,3.49900000,3.49900000,39.57043100,-89.65363800,city,ok
1149,PILOT TRAVEL CENTERS #30,"I-70, EXIT 96",Greenfield,IN,375,3.95900000,2,3.95900000,3.95900000,39.79328300,-85.77254800,city,ok
1151,SPEEDWAY #8061,"I-70, EXIT 115 & SR-109",Knightstown,IN,375,3.75900000,1,3.75900000,3.75900000,39.79553700,-85.53081100,city,ok
1154,CIRCLE K #2704691,SR-71 & CR-214,Cedar Creek,TX,595,3.19900000,1,3.19900000,3.19900000,30.08234100,-97.51112000,city,ok
1156,CIRCLE K #4700028,"I-74/US-421, EXIT 116 & SR-44",Shelbyville,IN,375,3.59900000,1,3.59900000,3.59900000,39.54659700,-85.77684100,city,ok
1157,One9 #297,"I-70, EXIT 11 & SR-46",Terre Haute,IN,510,3.43566666,1,3.43566666,3.43566666,39.46415200,-87.37603600,city,ok
1158,PILOT TRAVEL CENTERS #36,US-30  & SR-49,Valparaiso,IN,365,3.85900000,2,3.85900000,3.86900000,41.43020954,-87.02716690,rooftop,ok
1163,SHORT STOP #13,US-54,Emporia,KS,553,2.83900000,1,2.83900000,2.83900000,38.40186000,-96.19165400,city,ok
1176,PILOT TRAVEL CENTERS #353,"I-75, EXIT 129",Georgetown,KY,410,3.20566666,1,3.20566666,3.20566666,38.26018100,-84.53492100,city,ok
1179,PILOT TRAVEL CENTERS #399,"I-65, EXIT 105",Lebanon Junction,KY,415,3.60900000,1,3.60900000,3.60900000,37.83523900,-85.72235500,city,ok
1196,SOUTHERN BELLE TRUCK STOP,US-61 & SR-964,Saint Francisville,LA,725,3.38400000,1,3.38400000,3.38400000,30.78423400,-91.37641700,city,ok
1199,ALLTOWN MARKETS #306,"I-190, EXIT 7",Leominster,MA,178,3.68233333,1,3.68233333,3.68233333,42.52449329,-71.75564718,rooftop,ok
1202,ONE9 #290,"I-95, EXIT 93 & SR-222",Perryville,MD,22,3.59900000,1,3.59900000,3.59900000,39.57296800,-76.06492300,city,ok
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.39900000,4,3.34900000,3.54900000,39.12066200,-88.55085900,city,ok
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.09900000,2,3.09900000,3.49900000,42.27516300,-85.58850100,city,ok
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw,MI,465,3.55900000,2,3.55900000,3.59900000,42.09952602,-86.08907619,rooftop,ok
1217,KWIK TRIP #250,"I-90, EXIT 179",Austin,MN,515,3.37400000,1,3.37400000,3.37400000,43.67209800,-92.97786300,city,ok
1218,CASEYS #3658,SR-210,Pillager,MN,522,3.29900000,1,3.29900000,3.29900000,46.33062100,-94.47735100,city,ok
1225,AYERCO #35,US-61 & US-61 BUS,Bowling Green,MO,494,3.01566666,1,3.01566666,3.01566666,39.34149025,-91.20275225,rooftop,ok
1234,Lamar Travel Plaza,US-71 & US-160,Lamar,MO,416,3.19900000,1,3.19900000,3.19900000,37.49403233,-94.31177458,rooftop,ok
1236,AYERCO #44,US-36 & US-24,Palmyra,MO,494,3.01566666,1,3.01566666,3.01566666,39.79791000,-91.52655800,city,ok
1240,TEMP STOP #103,US-65,Sedalia,MO,400,3.19900000,1,3.19900000,3.19900000,38.70523900,-93.23581900,city,ok
1247,SNAPPY MART #11,US-63 & SR-14,West Plains,MO,535,3.29900000,1,3.29900000,3.29900000,36.73743000,-91.86795700,city,ok
